1,1003,?????? Apathy,2,1
2,1003,??? Sadness,1,1
3,1003,???? Calm,4,1
4,1003,????? Amusement,4,1
5,1003,??? Grief,1,1
6,1003,???? Happiness,3,1
7,1001,?????? Apathy,2,2
8,1001,??? Sadness,4,2
9,1001,???? Calm,2,2
10,1001,????? Amusement,1,2
11,1001,??? Grief,3,2
12,1001,???? Happiness,3,2
13,1004,?????? Apathy,4,3
14,1004,??? Sadness,2,3
15,1004,???? Calm,4,3
16,1004,????? Amusement,3,3
17,1004,??? Grief,2,3
18,1004,???? Happiness,2,3
19,1005,?????? Apathy,3,4
20,1005,??? Sadness,1,4
21,1005,???? Calm,4,4
22,1005,????? Amusement,3,4
23,1005,??? Grief,1,4
24,1005,???? Happiness,2,4
25,1007,?????? Apathy,2,5
26,1007,??? Sadness,3,5
27,1007,???? Calm,4,5
28,1007,????? Amusement,2,5
29,1007,??? Grief,3,5
30,1007,???? Happiness,3,5
31,1999,?????? Apathy,1,6
32,1999,??? Sadness,2,6
33,1999,???? Calm,3,6
34,1999,????? Amusement,4,6
35,1999,??? Grief,5,6
36,1999,???? Happiness,5,6
37,1009,?????? Apathy,2,7
38,1009,??? Sadness,1,7
39,1009,???? Calm,5,7
40,1009,????? Amusement,4,7
41,1009,??? Grief,1,7
42,1009,???? Happiness,4,7
43,1006,?????? Apathy,1,8
44,1006,??? Sadness,1,8
45,1006,???? Calm,3,8
46,1006,????? Amusement,3,8
47,1006,??? Grief,1,8
48,1006,???? Happiness,3,8
49,1008,?????? Apathy,1,9
50,1008,??? Sadness,4,9
51,1008,???? Calm,3,9
52,1008,????? Amusement,1,9
53,1008,??? Grief,4,9
54,1008,???? Happiness,1,9
55,1011,?????? Apathy,4,10
56,1011,??? Sadness,1,10
57,1011,???? Calm,4,10
58,1011,????? Amusement,1,10
59,1011,??? Grief,1,10
60,1011,???? Happiness,3,10
61,1010,?????? Apathy,1,11
62,1010,??? Sadness,4,11
63,1010,???? Calm,4,11
64,1010,????? Amusement,1,11
65,1010,??? Grief,4,11
66,1010,???? Happiness,3,11
67,1012,?????? Apathy,3,12
68,1012,??? Sadness,2,12
69,1012,???? Calm,4,12
70,1012,????? Amusement,3,12
71,1012,??? Grief,2,12
72,1012,???? Happiness,3,12
73,1013,?????? Apathy,2,13
74,1013,??? Sadness,1,13
75,1013,???? Calm,2,13
76,1013,????? Amusement,3,13
77,1013,??? Grief,1,13
78,1013,???? Happiness,2,13
79,16,?????? Apathy,4,14
80,16,??? Sadness,5,14
81,16,???? Calm,2,14
82,16,????? Amusement,1,14
83,16,??? Grief,5,14
84,16,???? Happiness,1,14
85,1018,?????? Apathy,3,15
86,1018,??? Sadness,1,15
87,1018,???? Calm,4,15
88,1018,????? Amusement,4,15
89,1018,??? Grief,1,15
90,1018,???? Happiness,5,15
91,1021,?????? Apathy,4,16
92,1021,??? Sadness,1,16
93,1021,???? Calm,5,16
94,1021,????? Amusement,5,16
95,1021,??? Grief,1,16
96,1021,???? Happiness,4,16
97,1022,?????? Apathy,3,17
98,1022,??? Sadness,5,17
99,1022,???? Calm,2,17
100,1022,????? Amusement,3,17
101,1022,??? Grief,4,17
102,1022,???? Happiness,3,17
103,1023,?????? Apathy,2,18
104,1023,??? Sadness,2,18
105,1023,???? Calm,4,18
106,1023,????? Amusement,4,18
107,1023,??? Grief,3,18
108,1023,???? Happiness,4,18
109,1015,?????? Apathy,3,19
110,1015,??? Sadness,2,19
111,1015,???? Calm,5,19
112,1015,????? Amusement,3,19
113,1015,??? Grief,1,19
114,1015,???? Happiness,3,19
115,1019,?????? Apathy,1,20
116,1019,??? Sadness,4,20
117,1019,???? Calm,3,20
118,1019,????? Amusement,1,20
119,1019,??? Grief,5,20
120,1019,???? Happiness,2,20
121,1014,?????? Apathy,1,21
122,1014,??? Sadness,1,21
123,1014,???? Calm,4,21
124,1014,????? Amusement,4,21
125,1014,??? Grief,1,21
126,1014,???? Happiness,5,21
127,1002,?????? Apathy,4,22
128,1002,??? Sadness,3,22
129,1002,???? Calm,4,22
130,1002,????? Amusement,4,22
131,1002,??? Grief,3,22
132,1002,???? Happiness,4,22
133,1017,?????? Apathy,3,23
134,1017,??? Sadness,1,23
135,1017,???? Calm,5,23
136,1017,????? Amusement,4,23
137,1017,??? Grief,1,23
138,1017,???? Happiness,3,23
NULL,NULL,NULL,NULL,NULL
